qubit,0
update_date,2022-11-30 14:21:42-05:00
T1,104.85990778819804
T2,96.81792199042829
freq,4.911083822966804
readout_err,-0.3416299530013241
pm0p1,0.011700000000000044
pm1p0,0.013800000000000034
id_error,0.00018975682329905536
id_len,35.55555555555556
u1_error,0.0003943233974293798
u1_len,35.55555555555556
u2_error,0.00035120327738606883
u2_len,35.55555555555556
u3_error,0.00043139400526304725
u3_len,35.55555555555556
itr,32
shots,8192
End
qubit,1
update_date,2022-11-30 14:21:42-05:00
T1,116.71767284385103
T2,28.504811855908297
freq,4.834851878958044
readout_err,-0.32466910427079637
pm0p1,0.046699999999999964
pm1p0,0.0786
id_error,0.0002008054913323551
id_len,35.55555555555556
u1_error,0.0009731408877755051
u1_len,35.55555555555556
u2_error,0.0009557480052719483
u2_len,35.55555555555556
u3_error,0.0004922468981356482
u3_len,35.55555555555556
itr,32
shots,8192
End
qubit,2
update_date,2022-11-30 14:21:42-05:00
T1,67.29289080982515
T2,78.13852782311247
freq,4.982705194045795
readout_err,-0.33863810849372844
pm0p1,0.017199999999999993
pm1p0,0.021399999999999975
id_error,0.00027272710358850556
id_len,35.55555555555556
u1_error,0.000269668362921206
u1_len,35.55555555555556
u2_error,0.0003305354130082153
u2_len,35.55555555555556
u3_error,0.0002147011019385549
u3_len,35.55555555555556
itr,32
shots,8192
End
qubit,3
update_date,2022-11-30 14:21:42-05:00
T1,112.71713441274463
T2,35.86876149898561
freq,5.10534391235907
readout_err,-0.3351621911862432
pm0p1,0.013900000000000023
pm1p0,0.02059999999999995
id_error,0.00025582649967060043
id_len,35.55555555555556
u1_error,0.0004359159993202973
u1_len,35.55555555555556
u2_error,0.00021667168692871865
u2_len,35.55555555555556
u3_error,0.0002310908929275517
u3_len,35.55555555555556
itr,32
shots,8192
End
qubit,4
update_date,2022-11-30 14:21:42-05:00
T1,166.7528726096885
T2,255.32176749151836
freq,5.00400678270215
readout_err,-0.33873220239666063
pm0p1,0.013500000000000068
pm1p0,0.01880000000000004
id_error,0.00023223261734704254
id_len,35.55555555555556
u1_error,0.0008029850645186242
u1_len,35.55555555555556
u2_error,0.00048762197265182766
u2_len,35.55555555555556
u3_error,0.00018962285065282595
u3_len,35.55555555555556
itr,32
shots,8192
End
qubit,5
update_date,2022-11-30 14:21:42-05:00
T1,126.82705402431992
T2,117.04506083216481
freq,5.032871679163195
readout_err,-0.33720894382745165
pm0p1,0.014799999999999924
pm1p0,0.016000000000000014
id_error,0.00022180580039789623
id_len,35.55555555555556
u1_error,0.0004783350914968974
u1_len,35.55555555555556
u2_error,0.00027257795739551435
u2_len,35.55555555555556
u3_error,0.0002671404254883842
u3_len,35.55555555555556
itr,32
shots,8192
End
qubit,6
update_date,2022-11-30 14:21:42-05:00
T1,169.55976576387494
T2,28.57176102206687
freq,4.951377624121335
readout_err,-0.4198945429033115
pm0p1,0.12860000000000005
pm1p0,0.0796
id_error,0.0005942210521130277
id_len,35.55555555555556
u1_error,0.00028853722277147125
u1_len,35.55555555555556
u2_error,0.0005666117522667337
u2_len,35.55555555555556
u3_error,0
u3_len,0
itr,32
shots,8192
End
qubit,7
update_date,2022-11-30 14:21:42-05:00
T1,166.03745687620417
T2,157.05772622764732
freq,4.90229533579516
readout_err,-0.3233875324821201
pm0p1,0.08630000000000004
pm1p0,0.0482
id_error,0
id_len,0
u1_error,0
u1_len,0
u2_error,0
u2_len,0
u3_error,0
u3_len,0
itr,32
shots,8192
End
qubit,8
update_date,2022-11-30 14:21:42-05:00
T1,103.69681528988991
T2,135.2014642423253
freq,4.908078761310264
readout_err,-0.3242773911866739
pm0p1,0.029100000000000015
pm1p0,0.04300000000000004
id_error,0
id_len,0
u1_error,0
u1_len,0
u2_error,0
u2_len,0
u3_error,0
u3_len,0
itr,32
shots,8192
End
qubit,9
update_date,2022-11-30 14:21:42-05:00
T1,171.4458936285043
T2,149.7590399058345
freq,5.044742531826234
readout_err,-0.33853943712278195
pm0p1,0.013399999999999967
pm1p0,0.0246
id_error,0
id_len,0
u1_error,0
u1_len,0
u2_error,0
u2_len,0
u3_error,0
u3_len,0
itr,32
shots,8192
End
qubit,10
update_date,2022-11-30 14:21:42-05:00
T1,128.5453924017231
T2,176.9132904526513
freq,5.081902724960344
readout_err,-0.3379636840612414
pm0p1,0.011299999999999977
pm1p0,0.01739999999999997
id_error,0
id_len,0
u1_error,0
u1_len,0
u2_error,0
u2_len,0
u3_error,0
u3_len,0
itr,32
shots,8192
End
qubit,11
update_date,2022-11-30 14:21:42-05:00
T1,126.2652566753562
T2,57.13352092104263
freq,5.034827498782852
readout_err,-0.3377232857931562
pm0p1,0.00869999999999993
pm1p0,0.013399999999999967
id_error,0
id_len,0
u1_error,0
u1_len,0
u2_error,0
u2_len,0
u3_error,0
u3_len,0
itr,32
shots,8192
End
qubit,12
update_date,2022-11-30 14:21:42-05:00
T1,146.91589468206868
T2,163.18667295798264
freq,4.971900019429847
readout_err,-0.3227716338059607
pm0p1,0.022199999999999998
pm1p0,0.028200000000000003
id_error,0
id_len,0
u1_error,0
u1_len,0
u2_error,0
u2_len,0
u3_error,0
u3_len,0
itr,32
shots,8192
End
qubit,13
update_date,2022-11-30 14:21:42-05:00
T1,128.80934398156003
T2,102.10397898544053
freq,4.86775454631271
readout_err,-0.3406276441736398
pm0p1,0.019299999999999984
pm1p0,0.03259999999999996
id_error,0
id_len,0
u1_error,0
u1_len,0
u2_error,0.00018975682329905536
u2_len,35.55555555555556
u3_error,0.0003943233974293798
u3_len,35.55555555555556
itr,32
shots,8192
End
